Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2014,4.6,270,True
LX,Al-Medina,Lexus,Automatic,Gulf Arabic,Full,2017,5.7,27000,True
Sunny,Dammam,Nissan,Automatic,Saudi,Semi Full,2016,1.5,76000,True
Yukon,Al-Ahsa,GMC,Automatic,Other,Standard,2007,5.3,217,True
Elantra,Riyadh,Hyundai,Automatic,Saudi,Full,2021,2.0,750000,True
Datsun,Riyadh,Nissan,Manual,Saudi,Standard,2004,2.4,300000,True
Navara,Dammam,Nissan,Manual,Saudi,Standard,2016,2.5,273000,True
Accent,Qassim,Hyundai,Manual,Saudi,Standard,2009,2.5,280000,True
Furniture,Qassim,Toyota,Automatic,Saudi,Semi Full,2021,2.4,5780,True
Acadia,Qassim,GMC,Automatic,Saudi,Semi Full,2010,3.6,269,True
Ciocca,Qassim,Toyota,Automatic,Saudi,Standard,2013,5.7,179000,True
Traverse,Makkah,Chevrolet,Automatic,Other,Semi Full,2009,3.8,300,True
Echo,Riyadh,Toyota,Manual,Saudi,Semi Full,2005,1.5,302000,True
Camaro,Qurayyat,Chevrolet,Automatic,Other,Standard,2011,3.6,145000,True
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Standard,2013,4.0,287808,True
Land Cruiser,Jeddah,Toyota,Manual,Gulf Arabic,Semi Full,1997,4.5,600000,True
LX,Riyadh,Lexus,Automatic,Saudi,Full,2015,5.7,109900,True
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2015,1.1,200548,True
Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,2013,5.4,130,True
Tahoe,Riyadh,Chevrolet,Automatic,Other,Semi Full,2008,5.3,450000,True
Prado,Dammam,Toyota,Automatic,Saudi,Semi Full,2017,6.0,256,True
Azera,Riyadh,Hyundai,Automatic,Other,Semi Full,2020,3.0,51000,True
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2003,4.6,389265,True
Pajero,Jeddah,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.5,189800,True
Prado,Jazan,Toyota,Automatic,Saudi,Semi Full,2016,4.0,191,True
Camry,Al-Jouf,Toyota,Automatic,Gulf Arabic,Semi Full,2011,2.5,349000,True
Innova,Riyadh,Toyota,Manual,Saudi,Standard,2006,2.7,498000,True
Cerato,Al-Medina,Kia,Automatic,Saudi,Semi Full,2016,2.0,99000,True
Armada,Al-Ahsa,Nissan,Automatic,Saudi,Semi Full,2008,4.0,240000,True
Dyna,Riyadh,Toyota,Manual,Saudi,Standard,1991,2.4,1111,True
CX9,Qassim,Mazda,Automatic,Gulf Arabic,Standard,2016,2.0,77000,True
Avalanche,Riyadh,Chevrolet,Automatic,Other,Semi Full,2007,6.5,383,True
Innova,Dammam,Toyota,Automatic,Saudi,Standard,2014,2.7,390861,True
LX,Jeddah,Lexus,Automatic,Saudi,Full,2019,5.7,45000,True
H1,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.4,175250,True
Vego,Wadi Dawasir,Ford,Automatic,Other,Standard,2020,1.5,3300,True
Accord,Riyadh,Honda,Automatic,Saudi,Standard,2018,1.5,55000,True
MKX,Yanbu,Lincoln,Automatic,Other,Full,2011,3.7,321,True
Taurus,Jeddah,Ford,Automatic,Other,Standard,2018,3.5,68000,True
Suburban,Al-Medina,Chevrolet,Automatic,Saudi,Standard,2015,5.3,75000,True
3,Dammam,Mazda,Automatic,Saudi,Standard,2013,1.6,172000,True
Land Cruiser Pickup,Tabouk,Toyota,Manual,Gulf Arabic,Semi Full,2014,4.0,185000,True
Marquis,Al-Baha,Ford,Automatic,Other,Full,1999,4.6,336737,True
Caprice,Khobar,Chevrolet,Automatic,Saudi,Full,1995,6.0,600000,True
SRX,Riyadh,Cadillac,Automatic,Saudi,Semi Full,2015,3.6,155000,True
Maxima,Riyadh,Nissan,Automatic,Saudi,Semi Full,2017,3.5,111000,True
Patrol,Taef,Nissan,Manual,Saudi,Semi Full,1999,4.0,40000,True
FJ,Riyadh,Toyota,Automatic,Saudi,Full,2008,4.0,500,True
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Standard,2012,5.3,170,True
Marquis,Riyadh,Ford,Automatic,Other,Full,2005,5.1,450000,True
Escalade,Riyadh,Cadillac,Automatic,Saudi,Full,2011,6.2,200000,True
Sonata,Riyadh,Hyundai,Automatic,Gulf Arabic,Standard,2017,2.4,311000,True
SLK,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2013,1.8,137000,True
X,Riyadh,BMW,Automatic,Saudi,Semi Full,2015,4.3,168000,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2018,5.7,23435,True
Hilux,Taef,Toyota,Manual,Gulf Arabic,Full,2013,2.7,171400,True
Grand Cherokee,Jeddah,Jeep,Automatic,Saudi,Full,2018,6.4,83000,True
Carenz,Riyadh,Kia,Automatic,Gulf Arabic,Semi Full,2013,2.0,149000,True
Rav4,Riyadh,Toyota,Automatic,Saudi,Standard,2018,2.5,124000,True
Camry,Riyadh,Toyota,Manual,Saudi,Semi Full,2010,2.5,311000,True
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2016,1.4,253,True
Yukon,Dammam,GMC,Automatic,Saudi,Standard,2016,5.3,103000,True
C300,Taef,Chrysler,Automatic,Other,Standard,2016,3.6,190000,True
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2020,2.5,5000,True
Suburban,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2015,5.3,218000,True
Land Cruiser Pickup,Al-Medina,Toyota,Manual,Gulf Arabic,Full,2014,4.0,219078,True
Hilux,Aseer,Toyota,Automatic,Saudi,Full,2018,2.7,75000,True
X,Riyadh,BMW,Automatic,Saudi,Full,2014,8.0,222000,True
Land Cruiser,Al-Jouf,Toyota,Automatic,Saudi,Full,2014,4.6,182000,True
CS35,Jazan,Changan,Automatic,Saudi,Full,2021,8.5,30000,True
Durango,Khobar,Dodge,Automatic,Saudi,Semi Full,2011,5.7,210000,True
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2017,5.3,118,True
Silverado,Najran,Chevrolet,Automatic,Saudi,Standard,2010,3.5,303545,True
Land Cruiser,Besha,Toyota,Automatic,Saudi,Full,2013,7.4,200,True
Sonata,Jeddah,Hyundai,Automatic,Saudi,Full,2019,2.4,92000,True
Land Cruiser,Yanbu,Toyota,Automatic,Gulf Arabic,Semi Full,2013,4.6,73335,True
Tahoe,Dammam,Chevrolet,Automatic,Saudi,Standard,2017,3.5,265,True
Camry,Makkah,Toyota,Manual,Saudi,Standard,2001,1.1,700000,True
S,Qassim,Mercedes,Automatic,Saudi,Full,2018,3.5,53000,True
Land Cruiser,Dammam,Toyota,Automatic,Unknown,Full,2008,4.6,475000,True
Malibu,Riyadh,Chevrolet,Automatic,Saudi,Full,2015,2.5,162000,True
Innova,Al-Medina,Toyota,Automatic,Saudi,Full,2018,2.7,92000,True
Ranger,Riyadh,Ford,Manual,Saudi,Semi Full,2016,2.5,164000,True
Land Cruiser Pickup,Riyadh,Toyota,Manual,Unknown,Full,1997,4.0,300000,True
Land Cruiser Pickup,Makkah,Toyota,Manual,Saudi,Standard,2008,4.0,160,True
Q5,Jeddah,Audi,Automatic,Saudi,Full,2010,2.0,120000,True
Sonata,Abha,Hyundai,Automatic,Other,Standard,2019,2.4,32000,True
Accent,Najran,Hyundai,Automatic,Saudi,Standard,2012,1.4,360000,True
Patrol,Hail,Nissan,Manual,Saudi,Standard,2004,4.5,164000,True
The 6,Dammam,BMW,Automatic,Gulf Arabic,Full,2015,3.0,137500,True
Suburban,Jazan,GMC,Automatic,Saudi,Full,2008,5.3,154,True
Explorer,Qassim,Ford,Automatic,Saudi,Standard,2009,3.5,99000,True
Land Cruiser,Al-Medina,Toyota,Automatic,Saudi,Semi Full,2008,4.5,545000,True
Hilux,Dammam,Toyota,Manual,Saudi,Full,2015,2.7,161000,True
Optima,Al-Medina,Kia,Automatic,Other,Semi Full,2015,2.4,950000,True
Suburban,Riyadh,Chevrolet,Automatic,Saudi,Standard,2007,1.8,541000,True
CX3,Riyadh,Mazda,Automatic,Saudi,Standard,2020,2.0,14501,True
Cruze,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,2012,1.8,12300,True
LS,Riyadh,Lexus,Automatic,Saudi,Full,2011,4.6,149000,True
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.5,140000,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.6,33700,True
Dyna,Tabouk,Isuzu,Manual,Saudi,Semi Full,2008,3.0,130,True
F150,Qassim,Ford,Automatic,Saudi,Full,2013,6.5,419000,True
CX9,Riyadh,Mazda,Automatic,Saudi,Full,2019,2.5,65000,True
Land Cruiser,Makkah,Toyota,Automatic,Saudi,Full,2013,4.6,254,True
Innova,Riyadh,Toyota,Automatic,Saudi,Standard,2015,2.7,452000,True
Accord,Al-Medina,Honda,Automatic,Saudi,Semi Full,2017,2.4,80000,True
Taurus,Qassim,Ford,Automatic,Saudi,Standard,2015,3.5,253000,True
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Standard,2019,5.3,55700,True
Camry,Sabya,Toyota,Manual,Saudi,Full,2008,2.5,500000,True
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.4,140000,True
Expedition,Jeddah,Ford,Automatic,Saudi,Semi Full,2013,5.4,316,True
Soul,Riyadh,Kia,Automatic,Saudi,Semi Full,2016,2.0,142000,True
Pajero,Hafar Al-Batin,Mitsubishi,Automatic,Saudi,Full,2007,3.5,300000,True
Victoria,Najran,Ford,Automatic,Other,Standard,2003,4.6,280000,True
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2018,3.5,180,True
Civic,Jeddah,Honda,Automatic,Other,Semi Full,2006,1.6,305000,True
Suburban,Jeddah,Chevrolet,Automatic,Other,Semi Full,2001,3.8,290000,True
Taurus,Makkah,Ford,Automatic,Other,Semi Full,2013,3.5,250,True
Datsun,Besha,Nissan,Manual,Saudi,Full,2013,2.4,202702,True
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2014,4.0,497480,True
Malibu,Jeddah,Chevrolet,Automatic,Saudi,Full,2011,3.6,299,True
LS,Riyadh,Lexus,Automatic,Saudi,Full,2008,8.0,383000,True
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2013,5.3,165000,True
H9,Qassim,HAVAL,Automatic,Saudi,Full,2021,2.0,508,True
H1,Al-Ahsa,Hyundai,Automatic,Saudi,Semi Full,2017,2.4,245900,True
Prado,Riyadh,Toyota,Automatic,Saudi,Full,2014,4.0,220,True
Cayenne,Jubail,Porsche,Automatic,Saudi,Full,2005,2.4,300000,True
Hilux,Tabouk,Toyota,Manual,Other,Full,2009,5.3,400,True
Maybach,Riyadh,Mercedes,Automatic,Saudi,Full,2019,6.0,29000,True
Yukon,Riyadh,GMC,Automatic,Other,Standard,2016,5.3,32000,True
Picanto,Jeddah,Kia,Automatic,Saudi,Semi Full,2012,1.5,200000,True
Taurus,Aseer,Ford,Automatic,Saudi,Full,2015,3.5,214,True
Taurus,Abha,Ford,Automatic,Saudi,Standard,2015,3.5,279000,True
S,Riyadh,Mercedes,Automatic,Saudi,Full,2001,3.0,299,True
LX,Riyadh,Lexus,Automatic,Saudi,Full,2019,5.7,450000,True
Cerato,Jeddah,Kia,Automatic,Unknown,Standard,2012,1.6,265000,True
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,1.6,37000,True
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,74000,True
Datsun,Jeddah,Nissan,Manual,Saudi,Standard,2016,2.4,110014,True
Corolla,Abha,Toyota,Manual,Saudi,Standard,2013,1.4,400000,True
Accord,Riyadh,Honda,Automatic,Saudi,Full,2018,1.5,106,True
Avalon,Jeddah,Toyota,Automatic,Other,Full,2017,3.5,117000,True
Previa,Makkah,Toyota,Automatic,Gulf Arabic,Semi Full,2012,2.4,190000,True
Cressida,Al-Medina,Toyota,Manual,Gulf Arabic,Semi Full,1996,2.4,60000,True
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,295000,True
Ciocca,Taef,Toyota,Automatic,Saudi,Semi Full,2011,5.7,240000,True
S,Qassim,Mercedes,Automatic,Saudi,Full,2018,3.5,53700,True
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2013,5.4,277000,True
Panamera,Jeddah,Porsche,Automatic,Saudi,Full,2011,3.6,169000,True
Tahoe,Riyadh,Chevrolet,Automatic,Unknown,Semi Full,2008,5.3,85000,True
Accent,Riyadh,Hyundai,Automatic,Other,Standard,2013,1.4,240,True
Land Cruiser 70,Taef,Toyota,Manual,Saudi,Full,1983,6.0,10000,True
KICKS,Riyadh,Nissan,Automatic,Saudi,Semi Full,2018,5.7,26000,True
Rav4,Al-Ahsa,Toyota,Automatic,Other,Standard,2017,2.5,91000,True
Pathfinder,Riyadh,Nissan,Automatic,Saudi,Full,2007,3.5,200000,True
Camry,Taef,Toyota,Automatic,Saudi,Semi Full,2017,2.5,148000,True
Delta,Taef,Daihatsu,Manual,Saudi,Semi Full,2012,4.0,300000,True
GLE,Riyadh,Mercedes,Automatic,Saudi,Full,2018,3.0,40600,True
Other,Jazan,Other,Manual,Other,Standard,2011,2.4,100000,True
Avalon,Jeddah,Toyota,Automatic,Saudi,Full,2016,3.5,60000,True
Land Cruiser,Al-Ahsa,Toyota,Automatic,Other,Full,2015,4.6,139000,True
Silverado,Aseer,Chevrolet,Automatic,Saudi,Semi Full,2014,4.3,52000,True
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2021,5.0,5700,True
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2016,1.5,97000,True
Escalade,Najran,Cadillac,Automatic,Other,Full,2007,6.2,222000,True
C,Makkah,Mercedes,Automatic,Saudi,Full,2016,6.3,50000,True
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,5.4,200,True
Expedition,Jubail,Ford,Automatic,Saudi,Full,2004,5.4,231091,True
Cadenza,Arar,Kia,Automatic,Saudi,Semi Full,2018,1.6,7500,True
Yaris,Dammam,Toyota,Automatic,Gulf Arabic,Standard,2015,1.5,94000,True
Marquis,Riyadh,Ford,Automatic,Saudi,Full,1998,4.6,492360,True
Land Cruiser,Riyadh,Toyota,Manual,Gulf Arabic,Full,2004,5.7,385000,True
Patrol,Besha,Nissan,Automatic,Saudi,Standard,2019,4.0,54000,True
Traverse,Tabouk,Chevrolet,Automatic,Saudi,Semi Full,2016,3.6,56500,True
Land Cruiser,Aseer,Toyota,Automatic,Saudi,Full,2016,1.0,86428,True
Hilux,Dammam,Toyota,Manual,Unknown,Full,2016,2.7,342125,True
Caprice,Dammam,Chevrolet,Automatic,Other,Full,2004,6.0,400,True
H1,Dammam,Hyundai,Manual,Saudi,Standard,2017,2.4,100000,True
S300,Jeddah,Chrysler,Automatic,Saudi,Full,2014,3.6,94000,True
Elantra,Aseer,Hyundai,Automatic,Saudi,Full,2021,2.0,14000,True
Hilux,Qassim,Toyota,Manual,Saudi,Semi Full,2009,2.7,35000,True
The 4,Riyadh,BMW,Automatic,Gulf Arabic,Full,2018,2.0,45000,True
Prado,Jeddah,Toyota,Automatic,Saudi,Semi Full,2015,2.7,97000,True
Datsun,Jeddah,Nissan,Manual,Saudi,Full,2015,2.4,116,True
Yukon,Najran,GMC,Automatic,Gulf Arabic,Semi Full,2008,5.3,395000,True
CX9,Riyadh,Mazda,Automatic,Saudi,Full,2017,2.5,123000,True
Pajero,Qassim,Mitsubishi,Automatic,Other,Semi Full,2016,3.5,190,True
Silverado,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2016,5.3,153000,True
Avalon,Riyadh,Toyota,Automatic,Saudi,Full,2013,3.5,136000,True
Hiace,Jeddah,Toyota,Manual,Saudi,Standard,2013,2.7,270000,True
Range Rover,Dammam,Land Rover,Automatic,Saudi,Semi Full,2014,3.0,149000,True
Flex,Jazan,Ford,Automatic,Saudi,Standard,2014,3.5,142000,True
Camry,Najran,Toyota,Automatic,Saudi,Semi Full,2020,2.5,30000,True
Grand Vitara,Makkah,Suzuki,Manual,Saudi,Standard,2002,2.5,371000,True
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2012,3.6,360000,True
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Standard,2017,5.3,147000,True
Hilux,Qurayyat,Toyota,Manual,Saudi,Full,2020,2.8,31000,True
Marquis,Al-Baha,Ford,Automatic,Saudi,Full,1999,4.6,10000,True
Optima,Makkah,Kia,Automatic,Saudi,Semi Full,2016,2.4,190000,True
Datsun,Riyadh,Nissan,Manual,Saudi,Standard,2015,1.5,137000,True
Camry,Yanbu,Toyota,Automatic,Saudi,Standard,2016,2.5,111417,True
The 5,Makkah,BMW,Automatic,Other,Semi Full,2005,2.0,278878,True
H3,Al-Medina,Hummer,Automatic,Other,Full,2007,3.5,330,True
Taurus,Qassim,Ford,Automatic,Saudi,Semi Full,2014,3.5,190000,True
Expedition,Jeddah,Ford,Automatic,Saudi,Full,2012,5.4,242,True
Marquis,Abha,Ford,Automatic,Saudi,Semi Full,2008,4.6,2500,True
Land Cruiser,Abha,Toyota,Manual,Saudi,Semi Full,2002,4.6,214000,True
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2019,3.5,84000,True
Innova,Jeddah,Toyota,Automatic,Saudi,Full,2018,2.7,1000,True
Abeka,Riyadh,Chevrolet,Automatic,Saudi,Full,2007,4.3,168000,True
Sierra,Riyadh,GMC,Automatic,Other,Standard,2011,5.3,262000,True
Patrol,Makkah,Nissan,Manual,Saudi,Semi Full,2003,6.0,20017,True
Camry,Qassim,Toyota,Automatic,Unknown,Standard,2019,2.5,30000,True
Camry,Jeddah,Toyota,Automatic,Unknown,Standard,2010,2.5,142333,True
Hilux,Al-Ahsa,Toyota,Manual,Saudi,Full,2012,2.7,337681,True
Suburban,Riyadh,Chevrolet,Automatic,Other,Full,2009,5.3,190000,True
ES,Riyadh,Lexus,Automatic,Saudi,Standard,2019,2.5,30000,True
LX,Tabouk,Lexus,Automatic,Gulf Arabic,Full,2014,5.7,128000,True
The M,Al-Ahsa,BMW,Automatic,Saudi,Full,2007,2.0,145000,True
Tahoe,Hail,Chevrolet,Automatic,Saudi,Standard,2021,8.5,7700,True
Accent,Arar,Hyundai,Automatic,Saudi,Standard,2015,1.4,196,True
Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2019,1.1,166,True
Delta,Jeddah,Daihatsu,Manual,Saudi,Standard,2014,3.7,51000,True
Navara,Dammam,Nissan,Manual,Saudi,Standard,2016,2.5,141000,True
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2016,2.7,280,True
Land Cruiser,Qassim,Toyota,Automatic,Saudi,Full,2014,4.6,495000,True
H1,Riyadh,Hyundai,Automatic,Other,Semi Full,2015,2.7,112000,True
Optima,Riyadh,Kia,Automatic,Saudi,Standard,2018,2.0,11000,True
A8,Riyadh,Audi,Automatic,Saudi,Full,2014,3.0,175,True
Sonata,Riyadh,Hyundai,Automatic,Gulf Arabic,Standard,2016,2.4,80000,True
Tahoe,Hail,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,170000,True
Hilux,Dammam,Toyota,Manual,Saudi,Semi Full,2018,2.7,67000,True
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2016,2.0,249110,True
Innova,Jeddah,Toyota,Automatic,Saudi,Standard,2019,2.7,75000,True
Elantra,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.0,245000,True
Expedition,Tabouk,Ford,Automatic,Saudi,Standard,2013,5.4,99349,True
FJ,Jeddah,Toyota,Automatic,Saudi,Full,2009,4.0,360000,True
S,Dammam,Mercedes,Automatic,Saudi,Full,2011,3.6,84000,True
Suburban,Tabouk,Chevrolet,Automatic,Saudi,Full,2009,5.3,25000,True
Avalon,Riyadh,Toyota,Automatic,Saudi,Full,2009,3.5,430000,True
Accord,Aseer,Honda,Automatic,Saudi,Full,2005,2.0,530000,True
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Semi Full,2012,4.0,300000,True
Accord,Taef,Honda,Automatic,Saudi,Full,2009,2.4,100,True
Tahoe,Abha,Chevrolet,Automatic,Saudi,Standard,2016,5.3,145000,True
Yukon,Riyadh,GMC,Automatic,Saudi,Standard,2021,5.4,5000,True
Pajero,Abha,Mitsubishi,Automatic,Unknown,Full,2020,3.5,5000,True
Datsun,Khobar,Nissan,Manual,Other,Standard,2014,2.4,119000,True
IS,Arar,Lexus,Automatic,Gulf Arabic,Full,2020,2.0,5900,True
Blazer,Riyadh,Chevrolet,Automatic,Saudi,Full,2006,2.3,3500,True
300,Riyadh,Chrysler,Automatic,Saudi,Full,2007,3.5,30000,True
Elantra,Riyadh,Hyundai,Automatic,Other,Semi Full,2016,2.0,248767,True
Taurus,Al-Medina,Ford,Automatic,Saudi,Full,2013,3.0,148000,True
Hilux,Riyadh,Toyota,Automatic,Saudi,Full,2020,2.7,1040,True
Hilux,Abha,Toyota,Manual,Saudi,Semi Full,2016,2.7,155000,True
C300,Al-Baha,Chrysler,Automatic,Saudi,Full,2006,3.5,200000,True
Corolla,Jeddah,Toyota,Automatic,Saudi,Semi Full,2019,1.6,31000,True
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2019,2.5,84000,True
LX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2009,5.7,422,True
Hilux,Al-Ahsa,Toyota,Manual,Gulf Arabic,Full,2015,2.7,198000,True
CX9,Jeddah,Mazda,Automatic,Saudi,Full,2020,2.5,31000,True
Accent,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,1.4,112000,True
LX,Tabouk,Lexus,Automatic,Other,Full,1998,5.7,200000,True
Tucson,Qassim,Hyundai,Automatic,Gulf Arabic,Semi Full,2017,2.0,149293,True
Accord,Riyadh,Honda,Automatic,Gulf Arabic,Full,2017,2.4,30000,True
SLK,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2013,3.0,100000,True
Expedition,Al-Medina,Ford,Automatic,Saudi,Full,2004,5.4,230000,True
Expedition,Jeddah,Ford,Automatic,Saudi,Semi Full,2012,8.0,190,True
Azera,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,3.5,95000,True
QX,Riyadh,INFINITI,Automatic,Saudi,Full,2014,3.7,186000,True
Camry,Sabya,Toyota,Manual,Other,Semi Full,2006,2.5,250,True
Rio,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.4,109000,True
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2008,8.0,262000,True
C300,Jeddah,Chrysler,Automatic,Saudi,Full,2019,3.6,80000,True
Hilux,Al-Baha,Toyota,Manual,Saudi,Standard,2013,2.7,154500,True
LX,Tabouk,Lexus,Automatic,Saudi,Full,2010,1.0,400,True
Expedition,Riyadh,Ford,Automatic,Other,Semi Full,2004,5.4,291000,True
Land Cruiser Pickup,Riyadh,Toyota,Manual,Other,Semi Full,2016,5.0,184,True
Explorer,Jeddah,Ford,Automatic,Saudi,Standard,2010,3.5,400000,True
CX9,Jeddah,Mazda,Automatic,Saudi,Full,2016,3.7,152000,True
The 7,Qassim,BMW,Automatic,Gulf Arabic,Full,2002,3.6,288000,True
L200,Jeddah,Mitsubishi,Manual,Saudi,Standard,2016,2.4,239650,True
Yukon,Aseer,GMC,Automatic,Saudi,Semi Full,2009,5.3,250,True
Carnival,Riyadh,Kia,Automatic,Other,Semi Full,2009,3.3,216908,True
Lancer,Dammam,Mitsubishi,Automatic,Gulf Arabic,Standard,2016,1.6,80000,True
Land Cruiser 70,Dammam,Toyota,Manual,Saudi,Standard,2016,4.0,49900,True
Ciocca,Besha,Toyota,Automatic,Saudi,Semi Full,2012,5.7,250000,True
Sierra,Abha,GMC,Automatic,Other,Full,2015,5.3,212000,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2007,4.7,340000,True
The 3,Riyadh,BMW,Automatic,Saudi,Full,2014,2.0,110000,True
Flex,Jeddah,Ford,Automatic,Saudi,Semi Full,2013,3.5,220000,True
CS95,Makkah,Changan,Automatic,Saudi,Full,2020,2.0,70000,True
Ciocca,Dammam,Toyota,Automatic,Saudi,Full,2012,5.7,67000,True
Datsun,Riyadh,Nissan,Manual,Saudi,Full,2016,2.6,33387,True
Furniture,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.7,106000,True
Van,Riyadh,Ford,Automatic,Saudi,Full,2002,3.6,133000,True
Sierra,Jubail,GMC,Automatic,Unknown,Full,1984,5.3,289000,True
Impala,Dammam,Chevrolet,Automatic,Gulf Arabic,Full,2017,3.6,87000,True
Pathfinder,Dammam,Nissan,Automatic,Saudi,Standard,2013,3.5,96000,True
Van,Riyadh,Ford,Automatic,Saudi,Standard,2013,3.6,107601,True
Camry,Riyadh,Toyota,Automatic,Unknown,Standard,2017,2.5,305000,True
Hilux,Qassim,Toyota,Manual,Saudi,Semi Full,2016,2.7,135637,True
Sierra,Taef,GMC,Automatic,Other,Standard,2019,5.3,2900,True
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,119000,True
Sonata,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2020,2.5,20000,True
Land Cruiser,Aseer,Toyota,Automatic,Gulf Arabic,Semi Full,2016,4.6,121,True
Boxer,Dammam,Peugeot,Manual,Saudi,Full,2014,2.8,207000,True
Marquis,Yanbu,Ford,Automatic,Other,Full,2009,5.7,244000,True
Hilux,Jeddah,Toyota,Manual,Saudi,Full,2021,1.0,13169,True
Patrol,Riyadh,Nissan,Manual,Saudi,Standard,1997,4.2,318,True
Marquis,Al-Medina,Ford,Automatic,Other,Semi Full,2010,8.0,349000,True
Land Cruiser,Al-Medina,Toyota,Manual,Saudi,Semi Full,2015,4.6,199,True
VTC,Tabouk,Nissan,Manual,Saudi,Standard,2015,4.8,164000,True
Suburban,Qassim,Chevrolet,Automatic,Saudi,Semi Full,2005,2.4,350000,True
Camry,Aseer,Toyota,Manual,Saudi,Semi Full,2005,2.5,570,True
Caprice,Qassim,Chevrolet,Automatic,Unknown,Standard,2007,6.0,300000,True
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,44500,True
Navara,Dammam,Nissan,Automatic,Saudi,Semi Full,2013,2.5,76000,True
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,1.6,57000,True
LX,Al-Medina,Lexus,Automatic,Saudi,Full,2015,5.7,157000,True
Patrol,Riyadh,Nissan,Automatic,Unknown,Full,2019,4.0,38000,True
Tahoe,Riyadh,Chevrolet,Automatic,Other,Full,2011,5.3,165000,True
Camry,Makkah,Toyota,Automatic,Saudi,Full,2017,1.6,99000,True
Camry,Hafar Al-Batin,Toyota,Automatic,Saudi,Standard,2019,2.5,39180,True
Delta,Jeddah,Daihatsu,Manual,Saudi,Full,2014,3.7,287000,True
Corolla,Riyadh,Toyota,Automatic,Saudi,Semi Full,2015,1.6,135000,True
Odyssey,Al-Medina,Honda,Automatic,Saudi,Full,2012,2.0,360,True
LX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2020,5.7,37000,True
Altima,Dammam,Nissan,Manual,Other,Full,1993,2.5,250,True
Yukon,Al-Medina,GMC,Automatic,Saudi,Full,2015,3.5,124000,True
Wrangler,Riyadh,Jeep,Automatic,Saudi,Standard,2014,3.6,150,True
Hilux,Makkah,Toyota,Manual,Gulf Arabic,Full,2018,2.7,84620,True
FJ,Hail,Toyota,Automatic,Gulf Arabic,Full,2016,4.0,140000,True
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Standard,2013,5.3,300000,True
