Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable
H2,Al-Medina,HAVAL,Automatic,Other,Semi Full,2021,1.4,6000,True
A,Riyadh,Mercedes,Manual,Saudi,Full,2020,2.0,5000,True
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2009,4.7,760,True
Land Cruiser,Qassim,Toyota,Automatic,Saudi,Full,2017,4.6,109000,True
MKZ,Riyadh,Lincoln,Automatic,Gulf Arabic,Full,2018,2.0,64000,True
Hilux,Makkah,Toyota,Manual,Saudi,Full,2015,1.7,57000,True
Hilux,Al-Baha,Toyota,Automatic,Saudi,Full,2020,2.7,7833,True
Traverse,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2016,3.6,69000,True
Hilux,Al-Jouf,Toyota,Manual,Saudi,Full,2005,2.7,270000,True
CX9,Makkah,Mazda,Automatic,Saudi,Full,2014,3.7,131000,True
H1,Qassim,Hyundai,Automatic,Unknown,Semi Full,2019,2.4,20000,True
Camry,Jeddah,Toyota,Manual,Saudi,Standard,2004,2.4,570000,True
Yukon,Aseer,GMC,Automatic,Saudi,Semi Full,2012,5.3,60000,True
Panamera,Riyadh,Porsche,Automatic,Gulf Arabic,Full,2014,3.0,53000,True
Patrol,Makkah,Nissan,Manual,Saudi,Semi Full,1998,4.0,143,True
Rush,Arar,Toyota,Automatic,Other,Standard,2021,1.5,600,True
Hilux,Jeddah,Toyota,Manual,Saudi,Semi Full,2009,2.7,300,True
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2018,5.3,37000,True
Elantra,Riyadh,Hyundai,Automatic,Other,Standard,2017,2.0,100000,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2011,4.6,3226,True
D-MAX,Dammam,Isuzu,Manual,Saudi,Semi Full,2007,2.5,452000,True
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2005,5.3,306270,True
Land Cruiser,Tabouk,Toyota,Automatic,Gulf Arabic,Full,2014,4.6,194,True
E,Al-Ahsa,Mercedes,Automatic,Gulf Arabic,Full,2014,2.0,135000,True
Land Cruiser,Jazan,Toyota,Automatic,Other,Full,2004,4.6,38000,True
Sunny,Riyadh,Nissan,Automatic,Other,Standard,2014,1.5,156,True
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2018,2.5,71000,True
Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2019,2.5,150000,True
Explorer,Riyadh,Ford,Automatic,Saudi,Full,2008,3.5,315000,True
VTC,Qurayyat,Nissan,Manual,Gulf Arabic,Standard,2016,4.8,55000,True
CS95,Riyadh,Changan,Automatic,Saudi,Full,2021,2.0,33000,True
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2012,5.3,214,True
Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2017,2.5,170,True
Optima,Riyadh,Kia,Automatic,Unknown,Semi Full,2014,2.4,170000,True
Prado,Jeddah,Toyota,Automatic,Saudi,Semi Full,2016,2.7,158000,True
Cayenne Turbo S,Jeddah,Porsche,Automatic,Saudi,Full,2009,4.8,127000,True
Land Cruiser,Qurayyat,Toyota,Automatic,Saudi,Full,2015,8.0,200000,True
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2014,9.0,360,True
Land Cruiser,Dammam,Toyota,Manual,Saudi,Semi Full,2005,4.6,300,True
Prado,Jeddah,Toyota,Automatic,Saudi,Semi Full,2017,4.0,44000,True
Hilux,Sakaka,Toyota,Manual,Gulf Arabic,Full,2016,2.7,217000,True
Malibu,Jeddah,Chevrolet,Manual,Gulf Arabic,Semi Full,2013,6.0,200000,True
Avalon,Al-Baha,Toyota,Automatic,Saudi,Full,2013,4.1,360,True
LX,Riyadh,Lexus,Automatic,Saudi,Full,2020,5.7,24000,True
Carnival,Dammam,Kia,Automatic,Saudi,Semi Full,2013,3.3,169000,True
VTC,Al-Namas,Nissan,Automatic,Saudi,Full,1999,4.5,297000,True
Other,Taef,Other,Automatic,Saudi,Full,2004,2.4,6000,True
D-MAX,Aseer,Isuzu,Automatic,Saudi,Full,2020,3.0,2700,True
Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2017,2.4,210,True
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2013,3.5,225000,True
Sonata,Al-Medina,Hyundai,Automatic,Unknown,Semi Full,2020,2.4,2396,True
Optra,Hafar Al-Batin,Chevrolet,Manual,Other,Semi Full,2005,1.6,300,True
Ciocca,Riyadh,Toyota,Automatic,Saudi,Full,2009,5.7,251000,True
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,52000,True
Sunny,Riyadh,Nissan,Automatic,Gulf Arabic,Standard,2002,1.6,340000,True
Furniture,Makkah,Toyota,Automatic,Saudi,Semi Full,2020,2.7,82000,True
Sierra,Dammam,GMC,Automatic,Saudi,Standard,2011,5.3,400,True
H1,Sakaka,Hyundai,Automatic,Saudi,Standard,2013,2.5,100000,True
Flex,Al-Ahsa,Ford,Automatic,Saudi,Semi Full,2016,3.5,27800,True
Charger,Riyadh,Dodge,Automatic,Gulf Arabic,Standard,2006,3.6,300,True
Prado,Jeddah,Toyota,Automatic,Saudi,Semi Full,2009,4.0,194000,True
Suburban,Hail,Chevrolet,Automatic,Other,Semi Full,1997,5.6,364627,True
Pathfinder,Riyadh,Nissan,Automatic,Saudi,Semi Full,2014,3.5,62000,True
Camry,Riyadh,Toyota,Automatic,Other,Standard,2012,2.5,20455,True
Sierra,Riyadh,GMC,Automatic,Saudi,Full,2015,6.2,137000,True
Sierra,Najran,GMC,Automatic,Saudi,Full,2014,5.3,200005,True
Hilux,Dammam,Toyota,Manual,Gulf Arabic,Full,2015,2.7,100000,True
Marquis,Dammam,Ford,Automatic,Gulf Arabic,Full,2011,4.6,360,True
Prado,Qassim,Toyota,Automatic,Saudi,Full,2018,1.5,130,True
C,Riyadh,Mercedes,Automatic,Saudi,Semi Full,2018,2.0,95000,True
Elantra,Jeddah,Hyundai,Automatic,Saudi,Full,2017,2.0,77000,True
Corolla,Al-Medina,Toyota,Automatic,Saudi,Semi Full,2015,1.6,370,True
H1,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.5,140,True
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Standard,2016,5.3,196000,True
Rio,Hail,Kia,Automatic,Other,Standard,2011,1.6,167000,True
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,146000,True
Carnival,Al-Ahsa,Kia,Automatic,Gulf Arabic,Semi Full,2016,2.5,125000,True
Previa,Riyadh,Toyota,Automatic,Other,Standard,2007,2.4,458,True
Carnival,Dammam,Kia,Automatic,Saudi,Full,2017,3.3,82217,True
Land Cruiser,Arar,Toyota,Automatic,Gulf Arabic,Full,2021,4.6,13000,True
Sunny,Riyadh,Nissan,Manual,Saudi,Standard,1999,2.8,500000,True
